Unnamed: 0,abstract,articleID,articleWordCount,byline,documentType,headline,keywords,multimedia,newDesk,printPage,pubDate,sectionName,snippet,source,typeOfMaterial,webURL
0,,58def1347c459f24986d7c80,716,by stephen hiltner and susan lehman,article,finding an expansive view  of a forgotten people in niger,"['photography', 'new york times', 'niger', 'ferguson, adam (1978- )', 'boko haram']",3,insider,2,2017-04-01 00:15:41,unknown,"one of the largest photo displays in times history, of people who have fled boko haram, required an effort just as immense.",the new york times,news,https://www.nytimes.com/2017/03/31/insider/niger-migrants-boko-haram-photography.html
1,,58def3237c459f24986d7c84,823,by gail collins,article,"and now,  the dreaded trump curse","['united states politics and government', 'trump, donald j', 'spicer, sean m (1971- )', 'ryan, paul d jr', 'priebus, reince r', 'nunes, devin g', 'christie, christopher j', 'flynn, michael g (1983- )', 'mines and mining', 'russia']",3,oped,23,2017-04-01 00:23:58,unknown,meet the gang from under the bus.,the new york times,op-ed,https://www.nytimes.com/2017/03/31/opinion/and-now-the-dreaded-trump-curse.html
2,,58def9f57c459f24986d7c90,575,by the editorial board,article,venezuela’s descent into dictatorship,"['venezuela', 'politics and government', 'maduro, nicolas']",3,editorial,22,2017-04-01 00:53:06,unknown,a court ruling annulling the legislature’s authority represents a dangerous turning point for venezuela.,the new york times,editorial,https://www.nytimes.com/2017/03/31/opinion/venezuelas-descent-into-dictatorship.html
3,,58defd317c459f24986d7c95,1374,by michael powell,article,stain permeates basketball blue blood,"['basketball (college)', 'university of north carolina', 'williams, roy a', 'cheating', 'ncaa basketball championships (men)']",3,sports,1,2017-04-01 01:06:52,college basketball,"for two decades, until 2013, north carolina engaged in academic improprieties that benefited its student-athletes. the repercussions are still being felt.",the new york times,news,https://www.nytimes.com/2017/03/31/sports/ncaabasketball/north-carolina-final-four-cheating-fake-classes.html
4,,58df09b77c459f24986d7ca7,708,by deb amlen,article,taking things for granted,['crossword puzzles'],3,games,0,2017-04-01 02:00:14,unknown,in which howard barkin and will shortz teach us a lesson.,the new york times,news,https://www.nytimes.com/2017/03/31/crosswords/taking-things-for-granted-great-lakes-poetic-stanza.html
5,,58df09b77c459f24986d7ca8,1065,by ben brantley,article,the caged beast awakens,"['theater', 'park avenue armory (manhattan, ny)', 'the hairy ape (play)', ""o'neill, eugene"", 'cannavale, bobby', 'jones, richard (1953- )', 'laing, stewart']",3,culture,1,2017-04-01 02:00:17,unknown,"in this visually ravishing production, bobby cannavale steps into a part that has been waiting for him for decades.",the new york times,review,https://www.nytimes.com/2017/03/31/theater/hairy-ape-review-bobby-cannavale-eugene-oneill.html
6,,58df6c317c459f24986d7d0a,2094,by timothy taylor,article,an ever-unfolding story,"['travel and vacations', 'vancouver (british columbia)']",3,travel,1,2017-04-01 09:00:27,unknown,"for the author, this gleaming, complex city in british columbia is “a rolling, improvisatory work in progress.”",the new york times,news,https://www.nytimes.com/2017/04/01/travel/vancouver-british-columbia-canada-unfolding-story-culture.html
7,,58dfadc07c459f24986d7d48,3172,by emily steel and michael s. schmidt,article,o’reilly thrives as settlements add up,"[""o'reilly, bill"", 'fox news channel', 'sexual harassment', '21st century fox', 'news and news media']",3,business,1,2017-04-01 13:40:11,media,about $13 million has been paid out over the years to address complaints from women about mr. o’reilly’s behavior. he denies the claims have merit.,the new york times,news,https://www.nytimes.com/2017/04/01/business/media/bill-oreilly-sexual-harassment-fox-news.html
8,,58dfb2737c459f24986d7d50,391,by ronda kaysen,article,mouse infestation,"['mice', 'real estate and housing (residential)']",3,realestate,2,2017-04-01 14:00:03,unknown,"getting rid of mice isn’t easy, but it’s a co-op board’s responsibility if a building becomes infested.",the new york times,news,https://www.nytimes.com/2017/04/01/realestate/dealing-with-a-mouse-infestation.html
9,,58dfca3e7c459f24986d7d71,1488,by nicholas confessore and alan rappeport,article,divide in g.o.p. now threatens trump tax plan,"['taxation', 'trump, donald j', 'koch, charles g', 'koch, david h', 'americans for prosperity', 'club for growth', 'koch industries inc', 'republican party', 'united states politics and government', 'house of representatives', 'international trade and world market']",3,national,1,2017-04-01 15:41:43,politics,"a proposed “border adjustment” tax is meeting furious opposition, threatening to jeopardize yet another signature legislative initiative.",the new york times,news,https://www.nytimes.com/2017/04/01/us/politics/trump-border-tax-import-koch.html
10,,58dfce877c459f24986d7d77,398,by deb amlen,article,variety puzzle: acrostic,"['crossword puzzles', 'acrostic puzzles']",0,games,0,2017-04-01 16:00:02,unknown,emily cox and henry rathvon reveal a miracle.,the new york times,news,https://www.nytimes.com/2017/04/01/crosswords/variety-puzzle-acrostic.html
11,,58dfe4107c459f24986d7d9e,1303,by bill pennington,article,they can hit a ball 400 feet. but play catch? that’s tricky.,"['baseball', 'baseball (college)']",3,sports,1,2017-04-01 17:31:51,baseball,"in modern youth baseball, the fundamentals are falling by the wayside in favor of flashier skills like big-league-style hitting and pitching.",the new york times,news,https://www.nytimes.com/2017/04/01/sports/baseball/they-can-hit-400-foot-homers-but-playing-catch-thats-tricky.html
