abstract,articleID,articleWordCount,byline,documentType,headline,keywords,multimedia,newDesk,printPage,pubDate,sectionName,snippet,source,typeOfMaterial,webURL
nan,58def1347c459f24986d7c80,716,by stephen hiltner and susan lehman,article,finding an expansive view  of a forgotten people in niger,photography new york times niger ferguson adam 1978  boko haram,3,insider,2,20170401 001541,unknown,one of the largest photo displays in times history of people who have fled boko haram required an effort just as immense,the new york times,news,httpswwwnytimescom20170331insidernigermigrantsbokoharamphotographyhtml
nan,58def3237c459f24986d7c84,823,by gail collins,article,and now  the dreaded trump curse,united states politics and government trump donald j spicer sean m 1971  ryan paul d jr priebus reince r nunes devin g christie christopher j flynn michael g 1983  mines and mining russia,3,oped,23,20170401 002358,unknown,meet the gang from under the bus,the new york times,oped,httpswwwnytimescom20170331opinionandnowthedreadedtrumpcursehtml
nan,58def9f57c459f24986d7c90,575,by the editorial board,article,venezuelas descent into dictatorship,venezuela politics and government maduro nicolas,3,editorial,22,20170401 005306,unknown,a court ruling annulling the legislatures authority represents a dangerous turning point for venezuela,the new york times,editorial,httpswwwnytimescom20170331opinionvenezuelasdescentintodictatorshiphtml
nan,58defd317c459f24986d7c95,1374,by michael powell,article,stain permeates basketball blue blood,basketball college university of north carolina williams roy a cheating ncaa basketball championships men,3,sports,1,20170401 010652,college basketball,for two decades until 2013 north carolina engaged in academic improprieties that benefited its studentathletes the repercussions are still being felt,the new york times,news,httpswwwnytimescom20170331sportsncaabasketballnorthcarolinafinalfourcheatingfakeclasseshtml
nan,58df09b77c459f24986d7ca7,708,by deb amlen,article,taking things for granted,crossword puzzles,3,games,0,20170401 020014,unknown,in which howard barkin and will shortz teach us a lesson,the new york times,news,httpswwwnytimescom20170331crosswordstakingthingsforgrantedgreatlakespoeticstanzahtml
nan,58df09b77c459f24986d7ca8,1065,by ben brantley,article,the caged beast awakens,theater park avenue armory manhattan ny the hairy ape play oneill eugene cannavale bobby jones richard 1953  laing stewart,3,culture,1,20170401 020017,unknown,in this visually ravishing production bobby cannavale steps into a part that has been waiting for him for decades,the new york times,review,httpswwwnytimescom20170331theaterhairyapereviewbobbycannavaleeugeneoneillhtml
nan,58df6c317c459f24986d7d0a,2094,by timothy taylor,article,an everunfolding story,travel and vacations vancouver british columbia,3,travel,1,20170401 090027,unknown,for the author this gleaming complex city in british columbia is a rolling improvisatory work in progress,the new york times,news,httpswwwnytimescom20170401travelvancouverbritishcolumbiacanadaunfoldingstoryculturehtml
nan,58dfadc07c459f24986d7d48,3172,by emily steel and michael s schmidt,article,oreilly thrives as settlements add up,oreilly bill fox news channel sexual harassment 21st century fox news and news media,3,business,1,20170401 134011,media,about 13 million has been paid out over the years to address complaints from women about mr oreillys behavior he denies the claims have merit,the new york times,news,httpswwwnytimescom20170401businessmediabilloreillysexualharassmentfoxnewshtml
nan,58dfb2737c459f24986d7d50,391,by ronda kaysen,article,mouse infestation,mice real estate and housing residential,3,realestate,2,20170401 140003,unknown,getting rid of mice isnt easy but its a coop boards responsibility if a building becomes infested,the new york times,news,httpswwwnytimescom20170401realestatedealingwithamouseinfestationhtml
nan,58dfca3e7c459f24986d7d71,1488,by nicholas confessore and alan rappeport,article,divide in gop now threatens trump tax plan,taxation trump donald j koch charles g koch david h americans for prosperity club for growth koch industries inc republican party united states politics and government house of representatives international trade and world market,3,national,1,20170401 154143,politics,a proposed border adjustment tax is meeting furious opposition threatening to jeopardize yet another signature legislative initiative,the new york times,news,httpswwwnytimescom20170401uspoliticstrumpbordertaximportkochhtml
